연번,시설명,주소
101,서울특별시립 서부아동복지센터,서울시 은평구 백련산로 14길 20-11 서부아동복지센터
102,돈보스코오라토리오,"서울시 영등포구 서울 영등포구 여의대방로 65 돈보스코청소년센터 3,4층"
103,마자렐로센터,서울시 영등포구 신길로 93 마자렐로센터
104,살레시오청소년센터,서울시 영등포구 서울시 영등포구 디지털로 70길 7 
105,돈보스코자립생활관,서울시 영등포구 여의대방로65 돈보스코자립생활관
106,상록여자자립생활관,서울시 관악구 남현길 63 
107,청운자립생활관,서울시 동작구 국사봉1길 145 청운자립생활관
108,행복한우리집,부산시 중구 중앙공원로 107 303호
109,파랑새그룹홈,부산시 동구 망양로694번길 5 3층
110,랄랄라가족그룹홈,부산시 동구 망양로476번길11-1 1층
111,이삭의 집,부산시 동구 망양로822번길7 1~3층
112,안드레아청소년의집,부산시 영도구 청학로 79-7 
113,찬미의집,부산시 부산진구 엄광로 68 120동 101호
114,연화동산,부산시 동래구 아시아드대로164번길 16 203호(사직동)
115,예꿈아홈,부산시 남구 석포로64번길 21-11 
116,부산해피홈,"부산시 남구 진남로 96번가길8-1  1층,2층"
117,파더스하우스,"부산시 남구 천제등로 28번길 43 1,2,층"
118,오륙도행복꿈터,부산시 남구 용호로269번길90 벽산아파트 108호
119,온새미로,부산시 남구 유엔평화로152-2 103동103호
120,이삭나래홈,부산시 남구 전선등로3번길 60-10 
121,무지개 그룹홈,부산시 북구 덕천로234번길 34 203동 104호
122,위즈맘,"부산시 북구 덕천로234번길34 207동302호(만덕동,럭키아파트)"
123,하나그룹홈,부산시 해운대구 재반로 64번길 74-1 209호
124,꽃담,부산시  해운대구  재반로84번길116  206호
125,하늘채 그룹홈,부산시 사하구 다대로473 105동203호
126,자비동산,부산시 금정구 반송로 440-6 
127,열린그룹홈,부산시 강서구 신호산단3로55 103-304
128,둥지공동생활가정,부산시 연제구 세병로 24번길 26-1 1층
129,라온그룹홈,부산시 연제구 해맞이로61번길 52 502호
130,에바다리더홈,부산시 사상구 동주로16번길 43 1층
131,에바다드림홈,부산시 사상구 동주로16번길 43 1층
132,예그린,부산시 사상구 대동로 98 105동 102호
133,천사의집,부산시 사상구 엄궁북로 61 401동 102호
134,단비,부산시 기장군 대청로7 이진캐스빌골드아파트 202동 1104호
135,소년의집,부산시 서구 감천로237 (암남동)
136,송도가정,부산시 서구 천해남로7 5
137,미애원,부산시 동구 망양로 641 
138,파랑새아이들집,부산시 영도구 와치로 78 
